Symbol	Estimate	Std. Error	t value	Pr(>|t|)
NA	9.14E-06	2.30E-05	0.398157482	0.69058417
NA	-1.66E-05	1.24E-05	-1.342524116	0.179677303
NA	2.76E-07	2.89E-07	0.953952061	0.340297968
NA	-1.44E-05	1.26E-05	-1.140778265	0.254187384
ZNF530	2.43E-06	6.82E-07	3.561762625	0.000382648
NA	-2.51E-08	1.16E-07	-0.217709302	0.827692232
OR56A3	1.23E-06	6.74E-07	1.826122614	0.06807751
NA	1.15E-07	1.62E-07	0.707305867	0.479512282
NA	0.000964516	0.003013168	0.320100207	0.748947496
NA	-1.36E-05	5.30E-06	-2.569818673	0.010293739
NA	-1.06E-05	1.89E-06	-5.599806854	2.65E-08
ZNF436	-6.92E-07	7.26E-08	-9.534110729	7.94E-21
BCL6	-7.47E-07	4.06E-08	-18.39479048	7.63E-67
NA	-4.69E-07	4.44E-06	-0.105611758	0.915907857
NA	2.83E-06	3.82E-06	0.740115457	0.459373162
KIF9	2.53E-06	4.33E-07	5.841143286	6.65E-09
PSMG4	6.05E-07	4.82E-07	1.25655359	0.209157256
NA	-1.73E-06	2.67E-05	-0.065064498	0.948133368
NA	0	1.453387714	0	1
TAS2R14	1.89E-08	5.99E-07	0.031502673	0.974873843
NRSN1	3.17E-07	5.39E-07	0.588728912	0.55615275
PSMA3	2.13E-07	3.10E-08	6.892204498	8.81E-12
NA	1.02E-06	6.28E-07	1.626232593	0.104159926
NA	-3.81E-06	4.06E-06	-0.937898666	0.348483192
NA	0	1.453387714	0	1
NA	1.53E-06	6.77E-07	2.256904033	0.024191408
NA	2.26E-05	4.61E-06	4.899893073	1.09E-06
DDB2	-7.04E-07	1.53E-07	-4.60252077	4.61E-06
ABCG8	-1.50E-05	2.93E-06	-5.115775446	3.63E-07
NA	-1.36E-06	1.04E-06	-1.313960941	0.189107782
KRTAP21-3	1.89E-06	9.35E-06	0.201852776	0.840065667
NA	0.000133588	0.000344398	0.387887256	0.698167527
NA	1.42E-05	4.68E-05	0.304044597	0.761146062
NA	-3.69E-07	2.24E-07	-1.649417013	0.09932115
NA	9.97E-06	1.00E-05	0.99610015	0.319400148
NA	5.38E-06	9.05E-06	0.59411158	0.552548268
CRYBA1	9.04E-07	1.19E-06	0.757846535	0.448690061
NA	9.57E-08	1.91E-07	0.500247996	0.616991208
RBBP9	1.54E-07	7.40E-08	2.075425912	0.038157412
NA	-2.14E-06	1.42E-06	-1.505054262	0.13257046
SPRYD4	6.47E-07	4.59E-07	1.409043061	0.159078729
NA	1.78E-06	2.93E-06	0.607687362	0.543508594
RMND5B	8.54E-07	1.09E-07	7.837869649	9.97E-15
HECW1	-9.80E-06	4.15E-06	-2.362117017	0.018328138
CXorf31	2.84E-06	8.06E-07	3.526166825	0.000437349
PBDC1	2.11E-07	3.62E-08	5.831525192	7.04E-09
NA	-2.88E-05	3.18E-05	-0.907362036	0.364395596
NA	5.47E-07	7.88E-07	0.694392288	0.487569198
C1S	-5.31E-08	6.89E-09	-7.704807047	2.71E-14
SNORD116-6	1.65E-07	2.96E-07	0.556281139	0.578121279
TMEM55A	-1.64E-06	1.33E-07	-12.28431481	8.92E-33
NA	1.07E-06	1.00E-06	1.065369746	0.286920655
NA	-2.19E-05	2.60E-05	-0.841616215	0.400168698
NA	2.09E-05	3.58E-05	0.583507975	0.559659866
SMCR2	3.57E-06	6.26E-07	5.695537442	1.54E-08
NA	6.28E-08	1.04E-06	0.06030494	0.951922701
NA	-4.58E-06	9.36E-07	-4.891346367	1.14E-06
NA	3.27E-06	3.21E-06	1.018788101	0.308506727
NA	3.62E-07	5.83E-07	0.621048294	0.534684528
NA	-1.44E-05	1.46E-05	-0.986586889	0.324041948
OR51Q1	3.87E-06	2.91E-06	1.32804508	0.184413047
ANXA11	-3.10E-07	3.72E-08	-8.326975687	2.21E-16
NA	9.63E-06	1.46E-05	0.659635979	0.509612677
NA	4.55E-06	8.59E-06	0.529796713	0.596349838
BX322563.3	2.15E-07	3.03E-07	0.709679049	0.478039581
NA	7.49E-07	5.20E-06	0.144191639	0.885373095
NA	0	1.453387714	0	1
NA	4.32E-06	7.71E-06	0.560638319	0.575147659
MFSD11	7.17E-07	2.01E-07	3.571199893	0.000369258
NA	3.86E-06	2.27E-05	0.170261642	0.864832768
NA	0	1.453387714	0	1
NA	-3.71E-08	4.68E-07	-0.079301756	0.93680569
NA	8.40E-06	2.33E-05	0.36080615	0.718307189
KCNK6	3.20E-07	4.06E-08	7.884427536	7.00E-15
NA	1.28E-05	2.20E-06	5.805112677	8.20E-09
ITIH4	-8.98E-06	3.91E-06	-2.295665882	0.021864945
NA	5.81E-06	2.16E-06	2.684119555	0.007371134
NA	-9.78E-06	1.27E-05	-0.771708312	0.440437516
RUNDC3A	1.80E-07	8.36E-08	2.156582572	0.031234227
NA	3.29E-06	8.37E-06	0.39304657	0.69435415
NA	0	1.453387714	0	1
NA	2.93E-06	1.08E-05	0.270921507	0.786497497
RP5-1027G4.3	7.05E-07	6.62E-07	1.065181235	0.287005902
SGIP1	1.57E-06	4.61E-07	3.406851578	0.000678695
HOXA5	-1.64E-06	7.13E-08	-23.04539665	9.27E-98
NA	0	1.453387714	0	1
NA	-4.91E-07	1.27E-06	-0.388308701	0.697855738
NA	1.60E-06	2.69E-06	0.594592581	0.552226727
NA	-2.33E-06	7.20E-07	-3.232038646	0.001262156
NA	1.57E-05	4.23E-06	3.718179359	0.000209823
NA	1.88E-06	1.65E-06	1.140421967	0.254335663
RP11-547C18.3	-7.44E-07	1.40E-06	-0.530576133	0.595809657
RASA4	-5.65E-05	3.40E-06	-16.60508016	5.94E-56
RPS3	7.18E-10	1.60E-09	0.449763362	0.652961437
NA	0	1.453387714	0	1
RP3-431P23.5	-1.75E-06	8.24E-07	-2.12225032	0.034018912
NA	1.62E-06	8.74E-07	1.849740442	0.06459407
NA	-1.92E-06	5.71E-06	-0.335469638	0.737328854
FAM159A	4.36E-06	9.06E-07	4.813391122	1.67E-06
TRAPPC12	3.93E-07	2.47E-07	1.590666467	0.111945224
NA	1.31E-05	3.31E-05	0.396779273	0.691600032
RP11-1008C21.2	-1.54E-05	1.06E-06	-14.56182022	2.17E-44
NA	-5.15E-05	2.27E-05	-2.265556622	0.023654237
NA	2.28E-07	3.35E-07	0.680680509	0.496203578
NA	-3.40E-06	1.53E-06	-2.215251267	0.026928013
NA	-3.86E-06	7.53E-07	-5.123143728	3.49E-07
NA	1.76E-06	1.60E-06	1.100199655	0.27146343
NA	5.54E-06	5.60E-06	0.990839282	0.32196167
SON	-2.22E-07	4.38E-08	-5.065409385	4.71E-07
NA	-1.83E-05	5.28E-06	-3.460084458	0.000558759
NA	1.98E-06	1.80E-05	0.110002445	0.912425632
NA	3.47E-07	1.10E-06	0.314440948	0.753240234
NA	2.67E-05	9.38E-06	2.847611788	0.004479152
NA	4.30E-07	1.06E-06	0.40514805	0.685440129
NA	6.51E-06	3.83E-06	1.698199734	0.089726539
FAM159B	6.83E-06	7.58E-06	0.90113754	0.367694076
NA	8.56E-07	8.11E-06	0.105615238	0.915905096
NA	6.07E-06	4.89E-06	1.241142765	0.214792981
NA	8.18E-06	4.48E-06	1.825426689	0.068182454
CLMN	-3.75E-07	1.06E-07	-3.545482166	0.00040682
NA	-9.33E-07	9.32E-07	-1.000951966	0.317049661
SEL1L3	1.25E-07	7.20E-08	1.734374539	0.083105692
MYF6	-1.20E-07	4.22E-08	-2.837231273	0.0046264
NA	5.77E-07	2.10E-05	0.027518284	0.978050883
PUSL1	7.32E-07	9.01E-08	8.126240646	1.08E-15
AVIL	4.19E-09	4.41E-07	0.009506011	0.992416978
NA	-1.42E-05	1.76E-06	-8.08257851	1.52E-15
NA	-2.65E-08	2.01E-07	-0.131582642	0.895336237
NA	8.49E-06	1.97E-06	4.31182122	1.75E-05
NA	2.88E-08	2.05E-08	1.403631794	0.160684469
NA	4.62E-07	4.88E-07	0.946219534	0.344225073
SSR2	1.23E-07	1.35E-08	9.105227252	3.45E-19
C18orf8	5.43E-07	1.45E-07	3.731907014	0.000198833
CDKAL1	9.34E-08	7.71E-08	1.210269088	0.226411438
FLII	-6.27E-08	3.27E-08	-1.919505097	0.05515481
NA	-6.61E-06	1.12E-05	-0.590682731	0.554843056
TBC1D15	-1.02E-06	1.29E-07	-7.907329397	5.88E-15
NA	8.66E-07	1.95E-06	0.444249375	0.656941541
PPP2R1B	-9.04E-07	5.27E-08	-17.14582171	3.57E-59
RP6-24A23.3	2.11E-08	1.27E-07	0.166389351	0.867878283
NA	-9.34E-06	1.16E-05	-0.805684082	0.420582939
NA	-3.77E-06	7.67E-06	-0.49098142	0.623528402
R3HDM2	2.45E-07	1.52E-07	1.61142575	0.107347109
NA	7.50E-07	6.19E-07	1.212005962	0.225746125
NA	9.28E-07	1.87E-06	0.497400526	0.618996782
NA	9.11E-06	6.91E-06	1.317973384	0.187761398
SCP2D1	6.23E-06	1.93E-05	0.322805683	0.746898042
NA	5.20E-06	3.44E-06	1.513935604	0.130302678
NA	2.38E-06	2.73E-06	0.872635663	0.383034397
MIR302E	3.99E-06	9.44E-06	0.422878001	0.672459229
ZNF501	-5.95E-06	5.01E-07	-11.86907353	8.08E-31
NA	3.92E-07	3.25E-07	1.206441045	0.227882718
ACVR1	-5.75E-07	7.40E-08	-7.779026326	1.55E-14
NA	-1.94E-05	1.77E-05	-1.096084245	0.273259473
NA	8.88E-06	1.58E-05	0.561587335	0.574500951
NA	3.15E-07	1.74E-07	1.805977398	0.071169668
NA	9.46E-07	9.83E-07	0.961887673	0.336297734
NA	-7.44E-07	1.18E-06	-0.631147676	0.528062876
NA	-3.96E-06	6.17E-07	-6.419828226	1.95E-10
NA	6.36E-06	1.29E-05	0.493662702	0.621633781
EI24	1.65E-08	2.44E-08	0.674750579	0.499962826
NA	3.88E-06	1.09E-05	0.354845992	0.722766655
TTTY9B	0.000282686	0.000282629	1.000201186	0.317412636
NA	9.44E-06	7.33E-06	1.28816077	0.197935672
NA	0	1.453387714	0	1
NA	2.01E-06	7.81E-07	2.569061084	0.010316146
NA	4.59E-07	7.20E-07	0.637578285	0.523868561
NA	9.96E-06	1.24E-05	0.802018359	0.422699429
AC009264.1	6.66E-06	7.02E-06	0.947881967	0.343378341
RSRP1	-2.92E-07	1.04E-07	-2.814654578	0.00496191
CTC-281B15.1	-6.87E-06	5.11E-07	-13.43766127	1.77E-38
NA	-9.69E-06	1.65E-06	-5.874250859	5.48E-09
NA	-1.74E-07	7.30E-07	-0.238602989	0.81145375
LILRB3	-1.11E-06	9.87E-07	-1.127256392	0.259857029
NA	3.01E-05	8.93E-06	3.375200225	0.000760948
NA	6.26E-07	5.94E-07	1.054366908	0.291924933
NA	1.11E-06	4.21E-07	2.643766639	0.008304649
NA	6.44E-06	4.18E-06	1.539865948	0.123853843
LMAN1L	4.45E-06	6.18E-06	0.71921333	0.472148018
NA	4.59E-06	3.15E-06	1.457956628	0.145111348
SNX6	-9.73E-08	5.69E-08	-1.710763079	0.087380541
NA	0	1.453387714	0	1
NA	4.70E-06	6.71E-06	0.699635088	0.484289367
GPD1L	-2.56E-07	2.92E-08	-8.756943539	6.62E-18
RP11-124N14.4	5.46E-08	1.39E-07	0.392276848	0.694922582
NA	1.06E-06	5.91E-07	1.787079126	0.074174326
SLC46A1	-2.77E-07	2.63E-07	-1.055641028	0.291342453
NA	3.92E-06	4.47E-06	0.878290553	0.379959995
NA	2.55E-07	2.38E-07	1.071863091	0.283994737
NA	1.86E-05	1.25E-05	1.487937743	0.137027219
NA	-2.37E-05	5.92E-06	-4.003915267	6.61E-05
PRKCA	-1.51E-06	2.23E-07	-6.78081363	1.86E-11
C1orf21	-1.88E-08	4.22E-08	-0.445260575	0.656210903
NA	-8.31E-06	1.39E-06	-5.959819169	3.31E-09
NA	5.58E-06	4.91E-06	1.135758039	0.256282193
RP11-125D12.2	5.41E-06	3.74E-06	1.445147716	0.148674678
NA	2.56E-08	5.61E-08	0.455931249	0.648521028
NA	-1.54E-07	7.09E-07	-0.217472883	0.827876412
RRP15	9.98E-07	2.06E-07	4.841483373	1.45E-06
SRRM5	8.32E-06	1.16E-06	7.161025759	1.38E-12
RP11-264J4.5	3.14E-05	1.64E-05	1.922169808	0.054818401
C10orf82	4.94E-07	9.69E-08	5.096234667	4.02E-07
CTB-43E15.3	-1.96E-05	1.65E-06	-11.88045247	7.15E-31
PLEKHO1	3.07E-07	5.92E-08	5.190220739	2.46E-07
NA	1.31E-06	5.69E-06	0.230259129	0.817929243
NA	9.17E-06	7.97E-06	1.150438451	0.250190074
NA	-3.94E-07	8.67E-07	-0.454571134	0.64949914
NA	4.38E-07	4.36E-07	1.004848068	0.315170419
NA	6.59E-07	9.26E-07	0.712201204	0.47647715
NA	5.04E-06	1.10E-05	0.459665629	0.645838615
ZNF219	-1.40E-06	1.25E-07	-11.2238932	6.98E-28
NA	4.09E-06	3.42E-05	0.119672523	0.904762384
NA	-4.76E-07	2.09E-06	-0.228132574	0.819581627
NA	1.04E-07	4.11E-06	0.025288624	0.979828907
NA	3.32E-06	3.69E-06	0.899578791	0.368522993
NA	6.66E-07	7.28E-07	0.914234881	0.360775128
ZNF816-ZNF321P	-5.06E-05	1.84E-05	-2.744666225	0.006146635
NA	4.90E-06	4.58E-06	1.070890939	0.284431499
CTC-782O7.1	1.23E-05	1.43E-05	0.86455653	0.387453175
IL12RB1	1.49E-06	3.54E-07	4.204713561	2.81E-05
NA	4.94E-06	3.93E-06	1.255343147	0.209595994
NA	-8.36E-07	2.18E-07	-3.828543026	0.000135486
NA	0	1.453387714	0	1
RTKN2	1.50E-06	2.47E-07	6.094280085	1.47E-09
NA	1.18E-06	8.76E-07	1.344264205	0.179114309
CCPG1	-1.87E-06	2.65E-07	-7.070165345	2.61E-12
NA	1.39E-06	1.41E-06	0.9851723	0.324735906
NA	3.14E-06	1.48E-05	0.212693137	0.831602057
NA	-1.76E-05	7.09E-06	-2.483804515	0.013132931
NA	1.93E-06	1.90E-06	1.018000786	0.308880579
RASGRP2	-4.73E-07	2.27E-07	-2.081654434	0.037583316
NA	0	1.453387714	0	1
NA	2.81E-07	1.65E-07	1.701060766	0.089187872
NLRP2	1.60E-07	4.23E-08	3.779794765	0.000164587
TTTY3	0	1.453387714	0	1
NA	5.43E-06	3.61E-06	1.503779455	0.132898469
OSTM1	-9.58E-07	1.13E-07	-8.444141846	8.64E-17
PLOD2	-1.74E-08	3.03E-08	-0.573884013	0.566152683
NA	1.11E-05	9.21E-06	1.20238675	0.22944838
NA	2.11E-06	1.06E-06	1.991796204	0.046617329
NA	1.19E-06	3.79E-06	0.314429484	0.753248938
NA	4.09E-06	8.64E-06	0.473726314	0.635780335
NA	1.74E-05	2.66E-05	0.653879944	0.513313094
NA	-2.49E-06	8.14E-07	-3.062832441	0.002240826
NA	4.87E-06	2.00E-06	2.437144009	0.014946739
NA	1.02E-05	2.13E-05	0.47944649	0.631707454
NA	2.92E-05	5.18E-05	0.563968875	0.572879567
NA	4.72E-07	7.99E-07	0.591349228	0.554396632
RP11-982M15.8	1.09E-05	2.87E-06	3.806376233	0.00014806
NA	9.18E-07	1.23E-06	0.747117307	0.455137547
NA	-1.21E-07	3.78E-07	-0.320493533	0.748649433
APOBEC3H	2.17E-06	4.80E-07	4.524084024	6.66E-06
NA	3.08E-07	6.07E-07	0.506726666	0.612438713
NA	2.33E-06	1.92E-05	0.121278525	0.903490515
MIR329-1	2.30E-06	4.03E-06	0.57108773	0.568045962
CECR3	4.14E-06	1.62E-05	0.2561257	0.797897207
NA	7.70E-07	1.52E-06	0.507896075	0.611618567
SPECC1L	1.35E-07	1.51E-07	0.896334502	0.370251983
CYTOR	6.89E-07	9.66E-08	7.129458165	1.73E-12
NA	-7.92E-06	9.78E-07	-8.097564149	1.35E-15
EPN2	1.56E-07	1.37E-07	1.14030395	0.254384791
ATP6V0A1	-3.94E-07	1.41E-07	-2.794092858	0.005286484
NA	1.74E-06	4.15E-07	4.183411057	3.08E-05
GTPBP1	5.71E-08	1.44E-07	0.395468275	0.692566869
FAM13B	-1.73E-06	1.26E-07	-13.74170911	4.82E-40
ECT2L	1.44E-06	8.37E-07	1.719106174	0.085850169
NA	7.21E-06	7.96E-06	0.905511524	0.365374278
NA	1.48E-05	1.67E-05	0.886803858	0.375360294
NA	-1.96E-06	1.81E-06	-1.07886441	0.280862659
NA	4.94E-07	4.29E-07	1.151302029	0.249834885
RP11-65D24.1	7.17E-06	7.82E-06	0.917523331	0.359050863
NA	3.00E-06	1.80E-06	1.662011105	0.096768925
RP11-112H10.4	4.13E-06	1.45E-06	2.845279754	0.004511857
NA	2.34E-07	2.45E-07	0.954361956	0.340090601
UTP18	1.09E-07	2.30E-08	4.726127022	2.56E-06
NA	-2.01E-05	7.78E-06	-2.585237404	0.009847032
NA	-4.47E-06	1.37E-06	-3.262727841	0.001134192
NA	2.92E-06	7.69E-06	0.37934833	0.704495612
NA	2.60E-07	8.68E-07	0.299196901	0.764841067
NA	5.48E-06	8.76E-06	0.62480312	0.53221779
NA	-9.90E-07	2.59E-07	-3.826939233	0.000136361
RAET1L	6.16E-07	2.39E-07	2.573222684	0.010193595
NA	1.35E-06	8.81E-06	0.153641174	0.877918226
NA	1.39E-06	8.01E-07	1.734287716	0.083121095
NA	1.65E-05	1.82E-05	0.907737933	0.364196996
NA	1.42E-06	5.37E-06	0.264312672	0.791583897
RNF217	-3.72E-06	3.28E-07	-11.34187898	2.07E-28
NA	1.20E-05	2.13E-06	5.622638898	2.33E-08
RTN4	-2.01E-07	1.38E-08	-14.55327682	2.41E-44
REG1B	3.26E-06	5.25E-06	0.620702382	0.534912066
NA	2.86E-05	4.10E-06	6.980174485	4.84E-12
RP11-509E17.1	1.12E-06	1.21E-06	0.924028307	0.355655351
FURIN	4.60E-08	1.54E-08	2.988719755	0.002857879
NA	9.49E-06	2.08E-05	0.456983015	0.647765079
GPR137C	4.67E-06	6.27E-07	7.451489637	1.75E-13
NA	1.31E-06	2.60E-07	5.030749396	5.62E-07
TRIM68	-2.15E-06	1.92E-07	-11.18440881	1.05E-27
CCZ1	3.57E-06	5.83E-07	6.114208663	1.31E-09
PRR23D1	-0.000292471	0.000541055	-0.540557412	0.588911918
RAB36	3.71E-07	1.08E-07	3.446460263	0.000587415
NA	1.88E-05	8.08E-06	2.326844097	0.020137551
NA	0	1.453387714	0	1
NA	2.37E-06	4.58E-06	0.516886624	0.605329533
NA	9.76E-07	7.79E-07	1.25320884	0.210371223
NA	1.25E-06	8.19E-07	1.530441223	0.126168285
NA	2.65E-07	1.94E-07	1.365556161	0.172331478
NA	5.68E-06	1.33E-06	4.271195272	2.10E-05
NA	6.34E-06	9.46E-06	0.669782545	0.503123897
NA	-2.53E-06	3.17E-06	-0.800466888	0.423597085
NA	3.79E-07	8.74E-07	0.433462515	0.664755864
HMGCLL1	-1.33E-06	3.60E-07	-3.68478909	0.000238986
NA	-1.64E-05	4.01E-06	-4.1060709	4.29E-05
MIR548F1	1.03E-05	1.76E-05	0.582860447	0.560095584
NA	1.05E-05	2.03E-05	0.516305914	0.605734872
NA	1.70E-05	5.51E-06	3.090232468	0.002045529
NA	9.21E-07	9.00E-07	1.02316122	0.306435629
NA	5.92E-06	4.91E-06	1.205884332	0.228097253
NA	-4.83E-06	2.77E-07	-17.43073705	6.77E-61
NA	-1.06E-05	1.21E-05	-0.877077086	0.38061844
AC093611.1	4.17E-05	2.39E-05	1.746251565	0.081020385
MIR4489	8.52E-07	5.98E-07	1.423701711	0.154790005
NA	-7.58E-05	3.63E-05	-2.08751988	0.037049429
NA	2.36E-05	1.37E-05	1.716219701	0.086377162
NA	-1.02E-05	4.24E-06	-2.414347872	0.015910676
NA	1.21E-05	6.59E-06	1.830806414	0.067374654
RP4-777D9.2	2.11E-08	1.85E-06	0.01142065	0.990889716
NA	-1.52E-06	7.80E-06	-0.194584481	0.845750837
NA	2.06E-07	3.31E-07	0.622487986	0.533738038
LRRN4CL	-3.01E-06	8.00E-08	-37.55202272	2.18E-205
NA	-0.000185124	7.26E-05	-2.549220014	0.010918665
NA	2.69E-07	4.20E-07	0.641616695	0.52124331
NA	2.53E-07	4.24E-07	0.59639624	0.551021831
NA	2.06E-07	1.35E-07	1.527419016	0.126917551
NA	-5.97E-05	7.44E-06	-8.024641186	2.39E-15
DDX60	1.72E-07	4.04E-08	4.266594672	2.14E-05
LCORL	1.91E-06	5.30E-07	3.610664812	0.000317877
NA	9.32E-07	2.30E-06	0.40466659	0.68579395
BMI1	1.39E-07	2.57E-08	5.399095723	8.05E-08
NA	-1.70E-05	9.10E-06	-1.864256839	0.06252705
NA	-7.68E-05	5.10E-06	-15.04584891	4.88E-47
NA	1.24E-06	1.06E-06	1.170484706	0.242035868
GPR162	1.04E-07	1.82E-07	0.570853259	0.568204853
NA	2.71E-06	3.28E-06	0.827707265	0.407999112
NA	-2.77E-06	1.76E-06	-1.575134632	0.115486131
METTL21B	-1.21E-06	1.57E-07	-7.711107281	2.59E-14
NA	2.89E-07	9.77E-07	0.296346625	0.767016112
RNLS	-4.07E-07	1.23E-07	-3.302839245	0.00098502
NA	1.26E-05	4.80E-05	0.262447598	0.793020945
NA	-5.61E-06	4.14E-06	-1.356084462	0.175324673
ZNF366	-1.03E-05	4.29E-07	-23.9382064	4.97E-104
TAS1R3	7.63E-07	2.12E-07	3.605432419	0.000324282
NA	-1.66E-06	5.85E-07	-2.83719999	0.00462685
NCKAP5	2.44E-07	3.12E-07	0.781402573	0.43471824
OR4C5	1.10E-05	3.13E-05	0.350485919	0.726034909
NA	1.73E-06	2.91E-06	0.594079457	0.552569745
NA	1.20E-06	8.72E-07	1.37300959	0.170003122
NA	-5.55E-05	3.44E-05	-1.612478282	0.107118026
NA	-2.09E-05	3.68E-06	-5.680726545	1.68E-08
NCRNA00161	1.98E-06	1.66E-06	1.192529831	0.233286788
NA	1.16E-05	1.26E-05	0.920933822	0.357268095
CDH22	-5.47E-06	1.42E-06	-3.853709337	0.000122434
NA	4.44E-06	6.35E-06	0.699847348	0.484156833
EIF3CL	5.01E-06	2.90E-06	1.730120999	0.083863013
NA	2.84E-06	5.96E-06	0.476986523	0.633457638
VWA1	1.53E-07	2.17E-08	7.051341597	2.97E-12
HTR3E	1.75E-05	1.05E-05	1.671048774	0.094969994
C5orf67	-1.45E-06	7.42E-07	-1.948769703	0.051553226
NA	9.74E-07	1.12E-06	0.868758726	0.385150967
NNT	-2.18E-07	6.40E-08	-3.411444803	0.00066747
NA	1.26E-05	1.51E-05	0.836827748	0.402854227
MIR4505	3.06E-07	3.23E-07	0.944479509	0.345112752
RPL30	8.21E-09	3.13E-09	2.622170626	0.008846579
AGBL1	-9.47E-07	3.06E-07	-3.092841098	0.002027776
VN1R1	1.60E-06	5.25E-07	3.052802068	0.002316495
NA	6.19E-07	5.77E-07	1.071445821	0.28418215
NA	-1.60E-05	7.52E-07	-21.27224944	1.37E-85
TOMM20L	-6.07E-06	1.45E-06	-4.192053863	2.97E-05
NA	1.48E-06	2.41E-05	0.061204431	0.951206484
RP11-97E7.2	-2.15E-05	2.11E-05	-1.022229459	0.306876133
MIR5684	9.17E-07	8.84E-07	1.036465952	0.300191389
NA	8.77E-07	3.21E-06	0.27322331	0.784728073
NA	7.78E-06	1.87E-05	0.416039228	0.677454893
SCN8A	4.54E-07	6.30E-07	0.721365964	0.470823395
FAM110B	3.60E-07	6.92E-08	5.197750947	2.36E-07
NA	1.67E-06	3.84E-06	0.435083286	0.663579372
OR6N2	1.91E-05	2.63E-05	0.726783094	0.46749907
NA	-8.97E-06	4.32E-06	-2.077308276	0.037983129
MS4A13	2.02E-05	2.23E-05	0.903493413	0.36644347
NA	4.01E-06	6.03E-06	0.664647808	0.506402115
ARGFX	3.51E-06	6.15E-06	0.569963618	0.568807919
ANO1	-5.50E-08	1.04E-08	-5.260166712	1.70E-07
NA	1.24E-05	2.55E-05	0.488512153	0.625275421
OTUD7A	-2.96E-05	2.44E-06	-12.10049927	6.65E-32
EXOC5	-3.44E-07	1.72E-07	-2.001538267	0.045556813
NA	1.65E-05	1.92E-05	0.86316763	0.388215939
NA	1.03E-06	8.26E-07	1.243665026	0.213863167
SEC22C	-7.53E-07	1.49E-07	-5.049915048	5.10E-07
NA	-3.31E-07	4.17E-07	-0.793412359	0.427692781
NA	-7.05E-06	1.14E-06	-6.176298118	8.94E-10
NA	1.46E-05	6.65E-06	2.192745911	0.028515074
NA	3.00E-06	1.12E-06	2.690083363	0.007241469
HOXB9	1.87E-07	8.53E-08	2.198219181	0.028121858
NA	3.52E-06	2.14E-06	1.648597902	0.09948899
NA	-3.60E-06	2.80E-06	-1.286509594	0.198510754
COMTD1	2.48E-07	4.22E-08	5.882809981	5.21E-09
RP11-301J16.5	1.47E-06	2.69E-06	0.545692688	0.585377533
NA	-4.97E-07	2.88E-07	-1.725253114	0.084736569
RPL6	-2.55E-08	5.33E-09	-4.781066674	1.96E-06
UBL7	1.83E-07	3.86E-08	4.749850888	2.28E-06
CXorf46	-1.34E-06	2.22E-06	-0.600973119	0.54797017
GLB1L3	-5.26E-06	1.15E-06	-4.561058878	5.61E-06
NA	0	1.453387714	0	1
SRGAP1	1.00E-06	3.76E-07	2.669727067	0.007692684
NA	-2.25E-06	2.70E-06	-0.833631436	0.404652827
NA	1.03E-05	3.00E-05	0.342752797	0.731843825
ZNRF3	4.39E-07	2.35E-06	0.187104632	0.851609886
CLRN1	2.54E-06	2.22E-06	1.146699063	0.251732158
NA	2.27E-07	2.12E-06	0.107470907	0.914433176
NA	5.87E-06	4.25E-06	1.38124262	0.167458758
NA	-0.000930865	9.44E-05	-9.857026519	4.21E-22
RP11-144G16.1	1.68E-06	2.09E-05	0.080393876	0.935937259
RASSF9	-6.68E-06	3.09E-07	-21.59543133	8.88E-88
NA	2.66E-05	2.12E-05	1.258338122	0.208511648
NA	1.17E-05	1.99E-05	0.587388722	0.557051985
NA	6.38E-06	2.84E-06	2.248531574	0.024721237
RXFP2	-3.68E-07	6.31E-06	-0.058385395	0.953451264
NA	4.95E-06	1.39E-06	3.565131054	0.000377818
LYSMD2	1.92E-07	1.38E-07	1.388686488	0.165183032
NA	-2.13E-05	1.29E-06	-16.59466984	6.84E-56
PHF19	3.05E-07	1.54E-07	1.981756178	0.047731972
NA	-1.50E-05	1.09E-05	-1.373073355	0.169983305
AFF2	-5.58E-06	1.37E-06	-4.06116887	5.20E-05
MIR153-1	-5.06E-06	6.40E-06	-0.7902356	0.429544647
NA	1.48E-05	1.45E-05	1.020799229	0.307553113
NA	4.85E-07	6.39E-07	0.759101235	0.447939483
NA	1.87E-05	1.11E-05	1.674140259	0.094360833
NA	-5.81E-06	1.14E-05	-0.508957042	0.610874898
TUBA3E	1.49E-07	6.88E-08	2.162055212	0.030808948
NSMF	3.65E-07	5.92E-08	6.16455165	9.61E-10
NA	3.30E-06	1.91E-06	1.72668765	0.084478375
NA	4.36E-06	1.04E-05	0.420258091	0.674371355
SNX12	1.81E-07	5.53E-08	3.280707813	0.001064912
NA	2.04E-07	1.34E-07	1.520380283	0.128676035
UXS1	7.32E-07	1.50E-07	4.890697378	1.14E-06
OR10A7	6.05E-06	2.26E-05	0.267483328	0.789142521
NA	1.51E-06	6.98E-07	2.168440538	0.030319045
NA	2.77E-05	1.34E-05	2.075071033	0.038190346
ST7-OT4	7.33E-08	1.48E-07	0.4962802	0.619786648
AUTS2	1.57E-08	4.97E-08	0.316445833	0.75171858
NA	1.05E-05	1.66E-05	0.62910647	0.52939781
NA	5.74E-06	3.24E-06	1.771217195	0.076775652
NA	8.85E-07	7.93E-07	1.114798786	0.265157478
NA	6.61E-06	1.43E-05	0.462495246	0.643809159
NA	7.39E-06	5.49E-06	1.346045682	0.178539287
