Category+A1:M65	Term	Count	%	PValue	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0019060~intracellular transport of viral protein in host cell	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_BP_DIRECT	GO:0070431~nucleotide-binding oligomerization domain containing 2 signaling pathway	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_BP_DIRECT	GO:0071621~granulocyte chemotaxis	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_BP_DIRECT	GO:0002322~B cell proliferation involved in immune response	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_BP_DIRECT	GO:0002829~negative regulation of type 2 immune response	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_BP_DIRECT	GO:2000566~positive regulation of CD8-positive, alpha-beta T cell proliferation	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_BP_DIRECT	GO:0045077~negative regulation of interferon-gamma biosynthetic process	3	0.29154519	0.030349827	10.24944049	1	0.306680469	43.41496502
GOTERM_CC_DIRECT	GO:0031362~anchored component of external side of plasma membrane	5	0.485908649	0.030374801	4.117115489	0.99999964	0.196025547	35.71028302
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	7	0.680272109	0.03071964	2.916507456	1	0.309016159	43.81236424
UP_SEQ_FEATURE	metal ion-binding site:Zinc 2; catalytic	4	0.388726919	0.030847069	5.647572132	1	0.541426723	42.51765433
GOTERM_CC_DIRECT	GO:0042581~specific granule	4	0.388726919	0.031566379	5.57394097	0.999999801	0.200363183	36.83258827
UP_KEYWORDS	Bait region	3	0.29154519	0.031922149	10.12844488	0.999995985	0.125067378	36.21505407
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	67	6.511175899	0.032118935	1.273104399	1	0.319922843	45.29227912
GOTERM_BP_DIRECT	GO:0043200~response to amino acid	6	0.583090379	0.032414438	3.306271125	1	0.321551501	45.60005593
GOTERM_BP_DIRECT	GO:0043507~positive regulation of JUN kinase activity	6	0.583090379	0.032414438	3.306271125	1	0.321551501	45.60005593
INTERPRO	IPR001134:Netrin domain	5	0.485908649	0.032507464	4.038603821	1	0.33783656	41.42260099
SMART	SM00246:WH2	4	0.388726919	0.0325889	5.442099567	0.999647908	0.203229908	34.79590337
COG_ONTOLOGY	Amino acid transport and metabolism	5	0.485908649	0.032822132	3.97254902	0.45157872	0.45157872	21.80770477
UP_SEQ_FEATURE	domain:SH2; atypical	3	0.29154519	0.033414413	9.883251232	1	0.567177427	45.14993167
GOTERM_MF_DIRECT	GO:0017124~SH3 domain binding	13	1.263362488	0.033774834	1.955612786	1	0.283038974	41.55487125
INTERPRO	IPR000483:Cysteine-rich flanking region, C-terminal	10	0.971817298	0.033922236	2.238262359	1	0.346951933	42.79355639
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	15	1.457725948	0.034019451	1.809120555	0.999539764	0.096159387	35.67527216
GOTERM_BP_DIRECT	GO:0007566~embryo implantation	7	0.680272109	0.034131163	2.847066802	1	0.334747133	47.35594037
UP_KEYWORDS	Epidermolysis bullosa	4	0.388726919	0.034895586	5.40183727	0.999998764	0.134736297	38.87742508
BBID	14.chemokine_receptor-ligand	8	0.777453839	0.03550387	2.065202927	0.967748754	0.317216615	32.79056779
BBID	17.Activators-CAM	8	0.777453839	0.03550387	2.065202927	0.967748754	0.317216615	32.79056779
BBID	16.Chemokines-rec-T-cells	8	0.777453839	0.03550387	2.065202927	0.967748754	0.317216615	32.79056779
BBID	40.Deg_of_Chrom_DNA_TNF-ind_apoptosis	8	0.777453839	0.03550387	2.065202927	0.967748754	0.317216615	32.79056779
INTERPRO	IPR014782:Peptidase M1, membrane alanine aminopeptidase, N-terminal	4	0.388726919	0.036168542	5.307879308	1	0.36253279	44.9086106
INTERPRO	IPR000562:Fibronectin, type II, collagen-binding	4	0.388726919	0.036168542	5.307879308	1	0.36253279	44.9086106
BIOCARTA	h_il4Pathway:IL 4 signaling pathway	6	0.583090379	0.036383519	2.944729689	0.999786124	0.135575771	37.77955283
GOTERM_MF_DIRECT	GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	5	0.485908649	0.036543048	3.891604039	1	0.300061819	44.11816138
GOTERM_BP_DIRECT	GO:0060045~positive regulation of cardiac muscle cell proliferation	5	0.485908649	0.036601156	3.882363821	1	0.35356983	49.78845754
GOTERM_BP_DIRECT	GO:0050718~positive regulation of interleukin-1 beta secretion	5	0.485908649	0.036601156	3.882363821	1	0.35356983	49.78845754
GOTERM_BP_DIRECT	GO:0043171~peptide catabolic process	5	0.485908649	0.036601156	3.882363821	1	0.35356983	49.78845754
GOTERM_BP_DIRECT	GO:0045019~negative regulation of nitric oxide biosynthetic process	4	0.388726919	0.036701652	5.256123327	1	0.353488639	49.88514137
GOTERM_BP_DIRECT	GO:0045780~positive regulation of bone resorption	4	0.388726919	0.036701652	5.256123327	1	0.353488639	49.88514137
GOTERM_BP_DIRECT	GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	4	0.388726919	0.036701652	5.256123327	1	0.353488639	49.88514137
GOTERM_BP_DIRECT	GO:0032516~positive regulation of phosphoprotein phosphatase activity	4	0.388726919	0.036701652	5.256123327	1	0.353488639	49.88514137
GOTERM_BP_DIRECT	GO:0010745~negative regulation of macrophage derived foam cell differentiation	4	0.388726919	0.036701652	5.256123327	1	0.353488639	49.88514137
GOTERM_BP_DIRECT	GO:0001878~response to yeast	4	0.388726919	0.036701652	5.256123327	1	0.353488639	49.88514137
UP_KEYWORDS	Endocytosis	12	1.166180758	0.036779507	2.008947745	0.999999415	0.14021685	40.51050169
UP_SEQ_FEATURE	domain:Protein kinase 2	4	0.388726919	0.037144535	5.271067323	1	0.60296608	48.77248897
UP_SEQ_FEATURE	domain:Protein kinase 1	4	0.388726919	0.037144535	5.271067323	1	0.60296608	48.77248897
INTERPRO	IPR014836:Integrin beta subunit, cytoplasmic domain	3	0.29154519	0.037495538	9.288788789	1	0.37024258	46.12336318
GOTERM_CC_DIRECT	GO:0046696~lipopolysaccharide receptor complex	3	0.29154519	0.039287335	9.057654076	0.999999996	0.240736385	43.67450118
GOTERM_MF_DIRECT	GO:0070492~oligosaccharide binding	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:0003910~DNA ligase (ATP) activity	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:1990782~protein tyrosine kinase binding	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:0004704~NF-kappaB-inducing kinase activity	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:0043184~vascular endothelial growth factor receptor 2 binding	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:0061133~endopeptidase activator activity	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:0019957~C-C chemokine binding	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_MF_DIRECT	GO:0032393~MHC class I receptor activity	3	0.29154519	0.040153131	8.95068929	1	0.322056072	47.30307704
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	17	1.652089407	0.040711274	1.710890214	0.999999998	0.245406368	44.85842222
GOTERM_BP_DIRECT	GO:2001244~positive regulation of intrinsic apoptotic signaling pathway	6	0.583090379	0.04117041	3.105891057	1	0.386698408	54.01073019
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	37	3.595724004	0.041400523	1.386071996	1	0.387487554	54.21422426
GOTERM_MF_DIRECT	GO:0048306~calcium-dependent protein binding	8	0.777453839	0.041663418	2.469155666	1	0.329349681	48.5843985
BIOCARTA	h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells	13	1.263362488	0.042107098	1.799557032	0.999945012	0.153160485	42.34863754
GOTERM_BP_DIRECT	GO:0009887~organ morphogenesis	11	1.068999028	0.04219203	2.042460967	1	0.392400153	54.90768678
GOTERM_BP_DIRECT	GO:0060071~Wnt signaling pathway, planar cell polarity pathway	11	1.068999028	0.04219203	2.042460967	1	0.392400153	54.90768678
GOTERM_BP_DIRECT	GO:0035924~cellular response to vascular endothelial growth factor stimulus	5	0.485908649	0.042322616	3.713565394	1	0.39243461	55.02113849
PIR_SUPERFAMILY	PIRSF002419:tetraspanin	7	0.680272109	0.042339675	2.627329193	0.990649357	0.486996635	38.56139054
BBID	19.Cytokine_microglia	9	0.874635569	0.042444113	1.900925422	0.983759762	0.337693161	37.9194983
BIOCARTA	h_stat3Pathway:Stat3 Signaling Pathway	5	0.485908649	0.042830219	3.374169435	0.99995371	0.153244316	42.90334731
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	13	1.263362488	0.042943606	1.886785223	1	0.408945095	50.85211234
KEGG_PATHWAY	hsa04520:Adherens junction	13	1.263362488	0.043251677	1.854985584	0.999945413	0.119686114	43.08712636
COG_ONTOLOGY	Posttranslational modification, protein turnover, chaperones	7	0.680272109	0.043336955	2.623381428	0.549534061	0.328832406	27.86099748
INTERPRO	IPR021158:Peptidase M10A, cysteine switch, zinc binding site	4	0.388726919	0.043450093	4.954020687	1	0.409609208	51.27135107
GOTERM_BP_DIRECT	GO:0050688~regulation of defense response to virus	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:2000667~positive regulation of interleukin-13 secretion	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0051798~positive regulation of hair follicle development	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0045627~positive regulation of T-helper 1 cell differentiation	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0006924~activation-induced cell death of T cells	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0035878~nail development	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0071636~positive regulation of transforming growth factor beta production	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0061737~leukotriene signaling pathway	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0003158~endothelium development	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0036006~cellular response to macrophage colony-stimulating factor stimulus	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0002830~positive regulation of type 2 immune response	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0009988~cell-cell recognition	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0002591~positive regulation of antigen processing and presentation of peptide antigen via MHC class I	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0002489~antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:2000553~positive regulation of T-helper 2 cell cytokine production	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0038084~vascular endothelial growth factor signaling pathway	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0033033~negative regulation of myeloid cell apoptotic process	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0007044~cell-substrate junction assembly	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0042503~tyrosine phosphorylation of Stat3 protein	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
GOTERM_BP_DIRECT	GO:0002819~regulation of adaptive immune response	3	0.29154519	0.043780154	8.541200407	1	0.402070715	56.26923685
UP_KEYWORDS	Cytoplasmic vesicle	34	3.304178814	0.044709842	1.405580106	0.999999975	0.166802157	46.95094626
GOTERM_BP_DIRECT	GO:2000147~positive regulation of cell motility	4	0.388726919	0.044732488	4.880685947	1	0.407936496	57.06695436
GOTERM_BP_DIRECT	GO:0035729~cellular response to hepatocyte growth factor stimulus	4	0.388726919	0.044732488	4.880685947	1	0.407936496	57.06695436
GOTERM_BP_DIRECT	GO:0019079~viral genome replication	4	0.388726919	0.044732488	4.880685947	1	0.407936496	57.06695436
GOTERM_BP_DIRECT	GO:2000353~positive regulation of endothelial cell apoptotic process	4	0.388726919	0.044732488	4.880685947	1	0.407936496	57.06695436
GOTERM_BP_DIRECT	GO:0045579~positive regulation of B cell differentiation	4	0.388726919	0.044732488	4.880685947	1	0.407936496	57.06695436
KEGG_PATHWAY	hsa05221:Acute myeloid leukemia	11	1.068999028	0.044809367	1.990032611	0.999961982	0.122326	44.25712302
UP_SEQ_FEATURE	glycosylation site:O-linked (GlcNAc...)	3	0.29154519	0.045234347	8.471358198	1	0.673354539	55.8683583
GOTERM_BP_DIRECT	GO:0043524~negative regulation of neuron apoptotic process	14	1.360544218	0.045287735	1.811769783	1	0.410924923	57.52568054
GOTERM_BP_DIRECT	GO:0030838~positive regulation of actin filament polymerization	7	0.680272109	0.045793331	2.657262349	1	0.413535409	57.93935164
GOTERM_BP_DIRECT	GO:0032147~activation of protein kinase activity	7	0.680272109	0.045793331	2.657262349	1	0.413535409	57.93935164
GOTERM_BP_DIRECT	GO:0045859~regulation of protein kinase activity	6	0.583090379	0.04603409	3.01454132	1	0.414277673	58.13499476
GOTERM_BP_DIRECT	GO:0045787~positive regulation of cell cycle	6	0.583090379	0.04603409	3.01454132	1	0.414277673	58.13499476
GOTERM_BP_DIRECT	GO:0048286~lung alveolus development	6	0.583090379	0.04603409	3.01454132	1	0.414277673	58.13499476
PIR_SUPERFAMILY	PIRSF015921:fatty acid desaturase/sphingolipid desaturase	3	0.29154519	0.046930397	7.881987578	0.994435082	0.477384426	41.79729939
UP_KEYWORDS	Aminopeptidase	5	0.485908649	0.046939039	3.617301744	0.99999999	0.172898183	48.64117405
UP_KEYWORDS	Angiogenesis	12	1.166180758	0.047088707	1.929227597	0.999999991	0.171803009	48.75284574
INTERPRO	IPR008993:Tissue inhibitor of metalloproteinases-like, OB-fold	5	0.485908649	0.04838335	3.572611073	1	0.44155404	55.1829822
GOTERM_BP_DIRECT	GO:0045648~positive regulation of erythrocyte differentiation	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0048870~cell motility	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0070371~ERK1 and ERK2 cascade	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0030099~myeloid cell differentiation	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0071353~cellular response to interleukin-4	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0001819~positive regulation of cytokine production	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0002092~positive regulation of receptor internalization	5	0.485908649	0.048518557	3.558833503	1	0.430401252	60.10425341
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	33	3.206997085	0.048832404	1.398807015	1	0.431566126	60.34669049
INTERPRO	IPR013201:Proteinase inhibitor I29, cathepsin propeptide	3	0.29154519	0.05065037	7.961818962	1	0.4537866	56.87992987
INTERPRO	IPR008753:Peptidase M13, N-terminal domain	3	0.29154519	0.05065037	7.961818962	1	0.4537866	56.87992987
INTERPRO	IPR018497:Peptidase M13, C-terminal domain	3	0.29154519	0.05065037	7.961818962	1	0.4537866	56.87992987
INTERPRO	IPR000718:Peptidase M13	3	0.29154519	0.05065037	7.961818962	1	0.4537866	56.87992987
GOTERM_BP_DIRECT	GO:0010951~negative regulation of endopeptidase activity	13	1.263362488	0.050712946	1.835299261	1	0.443148623	61.77041154
GOTERM_BP_DIRECT	GO:0072593~reactive oxygen species metabolic process	6	0.583090379	0.051224899	2.928411568	1	0.445548101	62.14954546
INTERPRO	IPR000242:Protein-tyrosine phosphatase, receptor/non-receptor type	6	0.583090379	0.051378026	2.933301723	1	0.455464531	57.41169941
INTERPRO	IPR017855:SMAD domain-like	4	0.388726919	0.051401075	4.644394394	1	0.452484982	57.42844262
UP_SEQ_FEATURE	site:Cleavage; by autolysis	4	0.388726919	0.051532298	4.650941756	1	0.718264399	60.73925706
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	45	4.373177843	0.05279735	1.312703489	1	0.303973918	54.01499486
GOTERM_MF_DIRECT	GO:0051117~ATPase binding	9	0.874635569	0.053459326	2.177194692	1	0.399844179	57.63423518
GOTERM_BP_DIRECT	GO:0030214~hyaluronan catabolic process	4	0.388726919	0.053555097	4.555306884	1	0.459648003	63.83071574
GOTERM_BP_DIRECT	GO:0043277~apoptotic cell clearance	4	0.388726919	0.053555097	4.555306884	1	0.459648003	63.83071574
GOTERM_BP_DIRECT	GO:0045190~isotype switching	4	0.388726919	0.053555097	4.555306884	1	0.459648003	63.83071574
GOTERM_BP_DIRECT	GO:0050930~induction of positive chemotaxis	4	0.388726919	0.053555097	4.555306884	1	0.459648003	63.83071574
GOTERM_BP_DIRECT	GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway	4	0.388726919	0.053555097	4.555306884	1	0.459648003	63.83071574
GOTERM_BP_DIRECT	GO:2000679~positive regulation of transcription regulatory region DNA binding	4	0.388726919	0.053555097	4.555306884	1	0.459648003	63.83071574
BBID	112.StressandCRHinfluence	6	0.583090379	0.053960701	2.323353293	0.99485516	0.380640366	45.65087919
BBID	111.Stress_influences_immunity	6	0.583090379	0.053960701	2.323353293	0.99485516	0.380640366	45.65087919
GOTERM_MF_DIRECT	GO:0050840~extracellular matrix binding	5	0.485908649	0.054140339	3.442572804	1	0.400753262	58.10820874
GOTERM_MF_DIRECT	GO:0031726~CCR1 chemokine receptor binding	3	0.29154519	0.054167637	7.672019391	1	0.397865613	58.12710386
GOTERM_MF_DIRECT	GO:0008519~ammonium transmembrane transporter activity	3	0.29154519	0.054167637	7.672019391	1	0.397865613	58.12710386
GOTERM_MF_DIRECT	GO:0016004~phospholipase activator activity	3	0.29154519	0.054167637	7.672019391	1	0.397865613	58.12710386
GOTERM_BP_DIRECT	GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage	7	0.680272109	0.054789581	2.544187355	1	0.466489737	64.69248908
UP_SEQ_FEATURE	splice variant	418	40.62196307	0.054806467	1.064742014	1	0.737359836	63.06656805
GOTERM_BP_DIRECT	GO:2001235~positive regulation of apoptotic signaling pathway	5	0.485908649	0.055186624	3.416480163	1	0.467996609	64.96550577
SMART	SM01241:SM01241	3	0.29154519	0.055702702	7.482886905	0.999998938	0.31756968	52.27826352
UP_KEYWORDS	Vacuole	3	0.29154519	0.055813682	7.596333661	1	0.199233193	54.88689717
UP_SEQ_FEATURE	domain:Ig-like 2	5	0.485908649	0.056418513	3.408017666	1	0.744543962	64.16401055
UP_SEQ_FEATURE	domain:Ig-like 1	5	0.485908649	0.056418513	3.408017666	1	0.744543962	64.16401055
BBID	80.T_cell_Activation	16	1.554907677	0.056650036	1.486946108	0.996074278	0.369778385	47.32523454
BIOCARTA	h_gata3Pathway:GATA3 participate in activating the Th2 cytokine genes expression	7	0.680272109	0.05778583	2.361918605	0.999998723	0.199467532	53.32872884
GOTERM_MF_DIRECT	GO:0008234~cysteine-type peptidase activity	6	0.583090379	0.058494917	2.82653346	1	0.41938167	61.02354426
GOTERM_BP_DIRECT	GO:0072678~T cell migration	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0033194~response to hydroperoxide	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0034351~negative regulation of glial cell apoptotic process	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0045359~positive regulation of interferon-beta biosynthetic process	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0002639~positive regulation of immunoglobulin production	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0045657~positive regulation of monocyte differentiation	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0043305~negative regulation of mast cell degranulation	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0010886~positive regulation of cholesterol storage	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0034616~response to laminar fluid shear stress	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0042035~regulation of cytokine biosynthetic process	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0001867~complement activation, lectin pathway	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0050869~negative regulation of B cell activation	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0042518~negative regulation of tyrosine phosphorylation of Stat3 protein	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0070233~negative regulation of T cell apoptotic process	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0032736~positive regulation of interleukin-13 production	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0007435~salivary gland morphogenesis	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0060463~lung lobe morphogenesis	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0032717~negative regulation of interleukin-8 production	3	0.29154519	0.058955639	7.32102892	1	0.490113726	67.45960123
GOTERM_BP_DIRECT	GO:0050679~positive regulation of epithelial cell proliferation	8	0.777453839	0.059820159	2.277653442	1	0.494274976	68.0075129
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	10	0.971817298	0.059902776	2.009694213	1	0.493762201	68.0594143
GOTERM_MF_DIRECT	GO:0004435~phosphatidylinositol phospholipase C activity	5	0.485908649	0.060860805	3.315070107	1	0.429280121	62.52673979
INTERPRO	IPR004843:Metallophosphoesterase domain	5	0.485908649	0.060953686	3.317424567	1	0.508941193	63.86037552
KEGG_PATHWAY	hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)	12	1.166180758	0.061561487	1.814520915	0.999999252	0.163517481	55.51318479
SMART	SM00059:FN2	4	0.388726919	0.061985671	4.275935374	0.999999786	0.339706351	56.21817484
UP_SEQ_FEATURE	metal ion-binding site:Zinc; catalytic	12	1.166180758	0.062270709	1.838744415	1	0.776209927	67.89499149
GOTERM_BP_DIRECT	GO:0045070~positive regulation of viral genome replication	5	0.485908649	0.062321996	3.28507708	1	0.50692268	69.54437091
GOTERM_BP_DIRECT	GO:0035458~cellular response to interferon-beta	4	0.388726919	0.063140993	4.270600203	1	0.510621824	70.03211291
GOTERM_BP_DIRECT	GO:0003222~ventricular trabecula myocardium morphogenesis	4	0.388726919	0.063140993	4.270600203	1	0.510621824	70.03211291
GOTERM_BP_DIRECT	GO:2000045~regulation of G1/S transition of mitotic cell cycle	4	0.388726919	0.063140993	4.270600203	1	0.510621824	70.03211291
GOTERM_BP_DIRECT	GO:0048566~embryonic digestive tract development	4	0.388726919	0.063140993	4.270600203	1	0.510621824	70.03211291
GOTERM_BP_DIRECT	GO:0071560~cellular response to transforming growth factor beta stimulus	7	0.680272109	0.064780203	2.440342973	1	0.518905949	70.98621585
GOTERM_MF_DIRECT	GO:0001047~core promoter binding	8	0.777453839	0.064913576	2.237672322	1	0.447731707	64.97632744
INTERPRO	IPR005804:Fatty acid desaturase, type 1	3	0.29154519	0.065173724	6.966591592	1	0.530021709	66.40092605
OMIM_DISEASE	104300~Alzheimer disease, susceptibility to	3	0.29154519	0.065829422	6.810344828	1	0.998845658	63.38854692
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	20	1.943634597	0.065932316	1.512100763	0.999999735	0.172439196	58.08348261
GOTERM_BP_DIRECT	GO:0007584~response to nutrient	9	0.874635569	0.066647255	2.077589288	1	0.528275229	72.03792079
BBID	8.MonocytesIFNF_IL4	7	0.680272109	0.067301714	2.032934132	0.998665213	0.398995334	53.50635632
GOTERM_CC_DIRECT	GO:0005667~transcription factor complex	17	1.652089407	0.068048678	1.595648905	1	0.371463177	63.55389923
GOTERM_CC_DIRECT	GO:0070419~nonhomologous end joining complex	3	0.29154519	0.068164523	6.793240557	1	0.368017478	63.61872926
GOTERM_BP_DIRECT	GO:0000902~cell morphogenesis	8	0.777453839	0.069039106	2.20418075	1	0.540253043	73.33261258
INTERPRO	IPR018933:Netrin module, non-TIMP type	4	0.388726919	0.069223153	4.128350573	1	0.54902002	68.68040381
INTERPRO	IPR016293:Peptidase M10A, metazoans	4	0.388726919	0.069223153	4.128350573	1	0.54902002	68.68040381
GOTERM_MF_DIRECT	GO:0000980~RNA polymerase II distal enhancer sequence-specific DNA binding	8	0.777453839	0.069420832	2.203246594	1	0.467622588	67.52421852
UP_KEYWORDS	Hydrogen peroxide	3	0.29154519	0.069465914	6.752296588	1	0.240994966	63.13339321
UP_KEYWORDS	Transmembrane beta strand	3	0.29154519	0.069465914	6.752296588	1	0.240994966	63.13339321
GOTERM_MF_DIRECT	GO:0031995~insulin-like growth factor II binding	3	0.29154519	0.069607069	6.713016967	1	0.465376535	67.62566694
GOTERM_BP_DIRECT	GO:0014065~phosphatidylinositol 3-kinase signaling	5	0.485908649	0.069917556	3.163407558	1	0.543918663	73.7937121
BIOCARTA	h_hdacPathway:Control of skeletal myogenesis by HDAC & calcium/calmodulin-dependent kinase (CaMK)	10	0.971817298	0.070355501	1.861610723	0.99999994	0.235305496	60.70150659
UP_SEQ_FEATURE	short sequence motif:Histidine box-1	3	0.29154519	0.072538	6.588834154	1	0.824032523	73.57104502
UP_SEQ_FEATURE	short sequence motif:Histidine box-2	3	0.29154519	0.072538	6.588834154	1	0.824032523	73.57104502
UP_SEQ_FEATURE	glycosylation site:O-linked (Gal...)	3	0.29154519	0.072538	6.588834154	1	0.824032523	73.57104502
UP_SEQ_FEATURE	short sequence motif:Histidine box-3	3	0.29154519	0.072538	6.588834154	1	0.824032523	73.57104502
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	11	1.068999028	0.073150168	1.826915184	0.999999953	0.187952841	62.03024686
